name	l:label	uid	type	obtainable	command	label	entity:string_array
	Hypergraph		hypergraph		CommandNet>NewInstruction	l12.  general tsos chicken lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l12.  general tsos chicken lunch special	
	Token,~NoTag		token			l12	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			general	~NoTag
	Token,~NoTag		token			tsos	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l13.  beef with broccoli lunch special	Item,Obtainable,l13.  beef with broccoli lunch special	N905	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l13.  beef with broccoli lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l13.  beef with broccoli lunch special	
	Token,~NoTag		token			l13	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Beef		token			beef	DBPedia>Beef
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Broccoli		token			broccoli	DBPedia>Broccoli
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l14.  beef with mixed vegetables lunch special	Item,Obtainable,l14.  beef with mixed vegetables lunch special	N906	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l14.  beef with mixed vegetables lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l14.  beef with mixed vegetables lunch special	
	Token,~NoTag		token			l14	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Beef		token			beef	DBPedia>Beef
	Token,CommonSense>With		token			with	CommonSense>With
	Token,~NoTag		token			mixed	~NoTag
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l15.  szechuan beef lunch special	Item,Obtainable,l15.  szechuan beef lunch special	N907	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l15.  szechuan beef lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l15.  szechuan beef lunch special	
	Token,~NoTag		token			l15	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			szechuan	~NoTag
	Token,DBPedia>Beef		token			beef	DBPedia>Beef
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l16. pepper steak with onion lunch special	Item,Obtainable,l16. pepper steak with onion lunch special	N908	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l16. pepper steak with onion lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l16. pepper steak with onion lunch special	
	Token,~NoTag		token			l16	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			pepper	~NoTag
	Token,DBPedia>Steak		token			steak	DBPedia>Steak
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Onion		token			onion	DBPedia>Onion
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l17.  chicken egg foo young lunch special	Item,Obtainable,l17.  chicken egg foo young lunch special	N909	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l17.  chicken egg foo young lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l17.  chicken egg foo young lunch special	
	Token,~NoTag		token			l17	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,~NoTag		token			egg	~NoTag
	Token,~NoTag		token			foo	~NoTag
	Token,~NoTag		token			young	~NoTag
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l17. pork egg foo young lunch special	Item,Obtainable,l17. pork egg foo young lunch special	N910	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l17. pork egg foo young lunch special	
